smiles,name,molwt,clogp,hba,hbd,hb,tpsa,n_rot,phosphate
Cc1ccccc1.Cl[Ru]Cl.C2N3CN4CN2CP(C3)C4,RAX,420.9815389300001,3.531620000000003,3,0,3,23.31,0,False
C[CH](O)c1nccn1Cc2cc(on2)c3ccc(cc3)C#CCCCO,H4O,351.158291532,2.7637000000000014,6,2,8,84.31000000000002,6,False
Clc1ccccc1NC2=NC(Nc3ccccc23)=C4C=CC=CC4=O,O74,347.082539748,4.530900000000001,4,2,6,53.49,1,False
Fc1ccccc1[S](=O)(=O)NNC(=O)c2ccccc2,NB7,294.047441432,1.449,3,2,5,83.65,4,False
COc1ccc(CN2CCc3n(CCO)nc(C(=O)NCc4ccccc4)c3C2)c5ccccc15,6RB,470.23179082,3.525500000000002,6,2,8,79.62,8,False
CC=C(N=Cc1c(O)c(C)ncc1CO[P](O)(O)=O)C(O)=O,4LM,330.06168745,1.11222,6,4,10,159.35,6,False
OC(=O)c1ccc2c(CN3CCOCC3)c[nH]c2c1,K97,260.116092372,1.6983,3,2,5,65.56,3,False
O=C1NN=C(CN2CCOCC2)c3c[nH]c4cccc1c34,G9D,284.127325752,0.9476,4,2,6,69.72,2,False
Nc1ccc(cc1)c2ccc(cc2)[S](N)(=O)=O,BC5,248.061948624,1.5832,3,2,5,94.56,2,False
CC1=CC(=O)NC(=N1)SCC(=O)c2cccc3ccccc23,7NC,310.077598688,3.206520000000001,4,1,5,88.12,4,False
CC(C)CCNCC=C[S](=O)c1cc(cc(c1)C(F)(F)F)C(F)(F)F,G6U,387.1091545480001,4.981200000000004,2,1,3,48.31,7,False
Cc1[nH]c(cc1Br)C(=O)NC2CCN(CC2)c3ncccc3[N+]([O-])=O,08B,407.059301536,2.7876200000000013,5,2,7,104.16,4,False
CC(C)(C)c1ccc(Cc2ccncc2C(=O)NNC(=O)C=CC(O)=O)cc1,640,381.168856216,2.3717,4,3,7,108.39,5,False
OC(=O)c1ccccc1NC(=O)Nc2cc(Cl)cc(Cl)c2,6X1,324.00684754,4.335600000000001,2,3,5,78.43,3,False
NC(=O)c1cc(Cl)c2c(Cl)c(C3CC3)n(CC4CCNCC4)c2n1,ROY,366.10141662,3.319000000000001,4,2,6,72.94,4,False
CN1[CH](CO)CCNCc2ccc(C)nc12,D8P,221.152812228,0.6804199999999996,4,2,6,48.39,1,False
OC(=O)C=Cc1ccc(O)c(c1)c2cccc(Cc3ccccc3)c2,7O0,330.125594436,4.747800000000003,2,2,4,57.53,5,False
CN1CCN(CC1)C2=NC(=O)C(S2)=Cc3ccc(Cl)c(Cl)c3,DWV,355.03128846000004,3.211100000000002,4,0,4,61.21,1,False
CO[CH]1O[CH](CO)[CH](O)[CH](O)[CH]1NC(C)=O,1NA,235.105587264,-2.4235,6,4,10,108.25,3,False
NC(=O)c1sc(Nc2ccc(cc2)[S](N)(=O)=O)nc1N,27Z,313.0303312120001,0.2152,7,4,11,190.81,4,False
CCC[S](=O)(=O)Nc1cc(ccc1OC)c2cc(cnc2N)c3ccc(cc3)N4CCNCC4,E7N,481.2147608520001,3.567700000000002,7,3,10,117.96,8,False
NC(=[NH2+])c1ccc2[nH]c(nc2c1)c3cc(cc(Br)c3[O-])[CH](CC([O-])=O)C([O-])=O,847,444.0080287758199,-2.4960999999999984,6,3,9,183.61,6,False
CCc1cc2NC(=O)C(=C(c3ccc(N[S](C)(=O)=O)cc3)c2c(C)n1)C#N,QZ3,382.1099614360001,2.7041000000000013,5,2,7,124.09,4,False
O[CH]1C[C](O)(C=C([CH]1O)c2cccc(c2)C(=O)c3ccccc3)C(O)=O,N87,354.11033829599995,1.2422,5,4,9,115.06,4,False
Fc1ccccc1N[S](=O)(=O)c2cccc(NC(=O)c3cnccn3)c2,SWV,372.0692394960001,2.6688,5,2,7,109.43,5,False
CC(C)SCC[CH](N)[CH](O)C(=O)NNC(=O)c1cccc(Cl)c1,AO5,359.107040244,1.3209000000000004,5,4,9,129.75,7,False
Cc1[nH]c2ccccc2c1c3ncc(cc3Cl)C(F)(F)F,OJ7,310.04846066,5.210520000000002,1,1,2,28.68,1,False
Cc1oc2ccc(cc2c1)c3cc(N)nc(N)c3,RKH,239.105862036,2.9676199999999997,4,2,6,78.07,1,False
CC1(C)C[CH](Cl)C[C]2(C)[CH](C[CH](O)[CH]3CC(=O)NC3=O)C(=C)[CH](O)C[CH]12,7AL,383.1863361199999,2.387,4,3,7,86.63000000000001,3,False
OC(=O)c1nc(Cc2c([nH]c3ccccc23)c4ccccc4)nc(O)c1O,P4Y,361.10625596,3.3251000000000017,5,4,9,119.33,4,False
COc1ncc(F)cc1CNc2ccc(Cc3c[nH]c4ncc(C)cc34)c(F)n2,622,395.15576666800007,4.151020000000003,5,2,7,75.72,6,False
CC(=O)N1CCN(CC1)[S](=O)(=O)c2cc(C)ccc2C,T71,296.1194635,1.15624,3,0,3,66.07000000000001,2,False
CC(C)c1nc(COC(N)=O)n(Cc2ccncc2)c1Sc3cc(Cl)cc(Cl)c3,S11,450.06840224,5.503100000000004,6,1,7,108.33,7,False
COc1ccccc1NC2=C(C(=O)NC=C2)C(=O)Nc3ccc(cc3)N4CCN(C)CC4,5Q4,433.21138972400007,3.131200000000001,6,3,9,89.69999999999999,6,False
C[S](=O)(=O)c1ccc(cc1)[CH](O)[CH](CO)NC(=O)C(Cl)Cl,TH8,355.00479894,0.4043000000000002,5,3,8,112.08,6,False
C[C]1(NC(=O)NC1=O)c2ccc(cc2)C3=Nc4ccccc4C(=O)N3,F37,334.106590308,1.6446999999999996,4,3,7,103.95,2,False
Cn1c2c(Cl)c(Cl)ccc2c3[CH](C#N)C4(CCNCC4)NC(=O)c13,KHC,362.070116492,2.957880000000001,4,2,6,69.85,0,False
